icd 9 codes,icd 9,intent,laterailty,procedure validation
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
,,,,
,,,,
,,,,
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3249,Lobectomy of lung,"Surgical procedure, for diagnosis",Left: origin of primary,Pathology Report
,,,,
689X,Other and unspecified hysterectomy,Surgical procedure for treatment,Not a paired organ site,Self Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Self Report
689X,Other and unspecified hysterectomy,"Surgical procedure, unknown intent",Not a paired organ site,Surgery/Operation Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
3249,Lobectomy of lung,"Surgical procedure, for diagnosis",Left: origin of primary,Pathology Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Self Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
689X,Other and unspecified hysterectomy,"Surgical procedure, unknown intent",Not a paired organ site,Surgery/Operation Report
3249,Lobectomy of lung,"Surgical procedure, for diagnosis",Left: origin of primary,Pathology Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
4523,Colonoscopy,Surgical procedure for prophylaxis,Not a paired organ site,Pathology Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Self Report
689X,Other and unspecified hysterectomy,"Surgical procedure, unknown intent",Not a paired organ site,Surgery/Operation Report
,,,,
