icd_10_code,icd_10
A169,"Respiratory tuberculosis, unspec"
B169,"Acute hepatitis B, w/o coma"
B189,"Chronic viral hepatitis, NOS"
B199,"Hepatitis, NOS"
B20,AIDS/HIV
B260,Mumps orchitis
B278,Other infectious mononucleosis
B279,"Infectious mononucleosis, unspec"
C3610,Schwannoma
D0501,"LCIS, right breast"
D0502,"LCIS, left breast"
D069,"Carcinoma in situ of cervix, unspecified"
D106,Benign neoplasm of the nasopharynx
D110,"Benign neoplasm major salivary gland, parotid"
D125,"Benign neoplasm colon, sigmoid"
D126,"Benign neoplasm colon, unspec"
D130,Benign Neoplasm of the Esophagus
D131,Benign Neoplasm of the Stomach (polyp)
D134,Benign neoplasm of the liver
D136,"Benign neoplasm other digestive, pancreas"
D139,"Benign neoplasm other digestive, NOS"
D140,Nasal Chondromesenchymal hamartoma
D1430,Benign Neoplasm Bronchus and Lung
D169,"Benign Neoplasm of Bone, NOS"
D171,"Benign lipomatous neoplasm,skin/subcutaneous trunk"
D172,"Benign lipomatous neoplasm,skin/subcutaneous limbs"
D174,"Benign lipomatous neoplasm, intrathoracic organs"
D179X,"Benign lipomatous neoplasm, unspecified"
D219,"Benign Neoplasm of Connective/Soft Tissue, unspec."
D225,"Melanocytic nevi, trunk"
D229,Spitz Nevi
D22X,Spitzoid Nevi
D233,"Other benign neoplasm skin, other/unspec face"
D239,"Other Benign Neoplasm of Skin, unspecified"
D24X,"Benign neoplasm, breast"
D259,"Leiomyoma uterus, unspec"
D260,"Benign neoplasm, cervix uteri"
D279,Benign neoplasm of unspecified ovary
D282,Benign neoplasm of uterine tubes and ligaments
D292,"Benign neoplasm male genital organs, testes"
D320,"Benign neoplasm, cerebral meninges"
D329,Meningioma 
D330,"Benign neoplasm brain, supratentorial"
D332,Benign neoplasm Brain
D333,Benign Neoplasm of cranial nerves-Acoustic Neuroma
D34X,"Benign neoplasm, thyroid"
D3500,Benign Neoplasm of Adrenal Gland
D351,Benign neoplasm of parathyroid gland
D352,Benign neoplasm Pituitary gland
D354,Benign Neoplasm of Pineal Gland
D361,"Benign neoplasm, peripheral/autonomic nerves"
D45,Polycythemia Vera
D469,"Myelodysplastic syndrome, unspec"
D472,Monoclonal gammopathy undetermined significance
D4721,MGUS - IgM
D4722,MGUS - IgG
D4726,Polyclonal IgM
D4727,Polyclonal IgM - non-IgM
D4728,Hypo IgA
D4729,Hypo IgA - non-IgA
D47Z9,"Other neoplasms of lymphoid, heme and related tiss"
D480,"Neoplasm of uncertain behavior, Bone/Cartilage"
D485,Neoplasm of uncertain behavior of skin
D510,"Vitamin B12 deficiency anemia, intrinsic factor"
D519,"Vitamin B12 deficiency anemia, NOS"
D569,"Thalassemia, unspec [incl Minor]"
D582,Other hemoglobinopathies
D589,"Anemia, hereditary hemolytic"
D591,Other autoimmune hemolytic anemia
D5911,Cold agglutinin syndrome
D610,Constitutional aplastic anemia
D6101,Diamond-Blackfan anemia
D6103,Shwachman-Diamond syndrome
D6109,Fanconi anemia
D6181,Pancytopenia
D619,"Aplastic anemia, unspec"
D6190,Bone marrow failure
D6191,"Pancytopenia, acquired"
D6480,Pearson syndrome
D649,"Anemia, unspecified"
D66X,Congenital factor VIII disorder [incl Hemophilia NOS]
D680,Von Willebrands disease
D688,Other spec coagulation defects [incl AP syndrome]
D6890,Protein C deficiency
D6891,Protein S deficiency
D6893,Factor V Leiden
D6894,PAI-1 mutation
D6895,MTHFR polymorphism
D6896,Prothrombin 20210 mutation
D691,Qualitative platelet defects
D693,Idiopathic Thrombocytopenic Purpura
D6942,Amegakaryocytic thrombocytopenia
D696,"Thrombocytopenia, unspec"
D700,Leukopenia
D709,Neutropenia
D70X0,Cyclic neutropenia
D70X1,Autoimmune neutropenia
D70X5,Severe congenital neutropenia
D721,"Eosinophilia, NOS"
D728,Leukocytosis
D729,"GATA 2 [other disorders of WBCs, unspecified]"
D758,Other spec diseases blood [incl Macrocytosis]
D759,"Disease of blood and blood-forming organs, unspecified"
D803,Deficiency (Hypo) IgG subclass
D821,Di George&#39;s Syndrome
D839,"Common variable immunodeficiency, unspecified"
D849,"Immunodeficiency, NOS"
D869,Sarcoidosis
D891,Cryoglobulinemia
D892,"Hypergammaglobulinaemia, unspecified"
E039,"Hypothyroidism, unspec"
E041,Thyroid nodule/Cyst nontoxic
E042,Nontoxic multinodular goiter
E049,"Nontoxic goiter, unspecified"
E050,Thyrotoxicosis w/ diffuse goiter [incl Graves]
E059,"Thyrotoxicosis, NOS"
